epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8109.62,0.68009,0.68416,0.01365,0.91679,0.86628,0.92592,0.79017,0.64401,0.66253,0.0167,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8313.75,0.67282,0.67645,0.01343,0.93781,0.87608,0.93379,0.80565,0.62682,0.64947,0.01594,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8517.19,0.67129,0.67287,0.01337,0.93647,0.87796,0.93533,0.80692,0.63064,0.67332,0.01643,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8721.46,0.66207,0.66078,0.01326,0.94767,0.87581,0.9353,0.81152,0.61965,0.62822,0.01586,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8924.78,0.67032,0.67239,0.01335,0.94564,0.87699,0.93626,0.81801,0.59156,0.60678,0.01491,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9129.17,0.66621,0.65278,0.01328,0.9118,0.86909,0.92153,0.80336,0.59779,0.64744,0.01504,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9333.85,0.66062,0.65163,0.01325,0.95437,0.8653,0.93599,0.8174,0.58173,0.60551,0.01425,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9539.59,0.66333,0.63851,0.01336,0.95154,0.87179,0.93671,0.81598,0.58003,0.59527,0.01414,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9743.35,0.64947,0.64646,0.01293,0.93784,0.89119,0.9373,0.81607,0.58146,0.58942,0.01413,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9948.25,0.64922,0.63891,0.01297,0.93537,0.88785,0.93678,0.81423,0.57754,0.58229,0.01429,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10159.4,0.64541,0.63595,0.01287,0.94432,0.88629,0.93875,0.82083,0.56855,0.57471,0.01397,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10369.3,0.64411,0.632,0.0126,0.94033,0.89127,0.93975,0.82323,0.56251,0.57643,0.01378,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10581.6,0.62989,0.61751,0.01238,0.93986,0.89273,0.94036,0.82541,0.55939,0.57115,0.01377,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10786.3,0.6245,0.62253,0.01235,0.94634,0.88718,0.94026,0.82611,0.55938,0.58188,0.01382,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10991.7,0.6257,0.61171,0.0123,0.94254,0.89441,0.94068,0.82673,0.56187,0.58856,0.01391,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11200.3,0.62988,0.61499,0.01244,0.94143,0.89679,0.94114,0.82688,0.56636,0.58097,0.01398,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11415.3,0.62683,0.60415,0.01241,0.93473,0.89646,0.93934,0.82612,0.56702,0.58721,0.01399,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11624,0.61918,0.60232,0.01222,0.93877,0.88088,0.93768,0.82295,0.5658,0.60271,0.01398,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11823.4,0.61664,0.61365,0.01212,0.94077,0.88157,0.9387,0.82401,0.55907,0.59443,0.0138,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12025.3,0.62106,0.61685,0.0123,0.94167,0.88705,0.93998,0.82769,0.55256,0.59403,0.01358,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12497.6,0.6103,0.59827,0.01197,0.94078,0.89094,0.94091,0.83036,0.54907,0.59446,0.01347,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12711.1,0.59891,0.5889,0.0117,0.9408,0.89224,0.94124,0.83136,0.54746,0.59125,0.01342,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12916.5,0.59097,0.58459,0.0117,0.94167,0.89192,0.94113,0.83137,0.54206,0.59454,0.01318,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13120.3,0.59094,0.57683,0.01161,0.94209,0.89239,0.9417,0.83208,0.53675,0.58939,0.01297,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13323.8,0.59626,0.57433,0.01166,0.94228,0.89549,0.94192,0.83259,0.5368,0.58466,0.01297,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13527.8,0.58057,0.55983,0.01132,0.94367,0.89062,0.94125,0.83154,0.5362,0.58906,0.01301,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13730.7,0.58915,0.56834,0.01137,0.94304,0.89195,0.94195,0.8327,0.53846,0.58647,0.0131,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13935.2,0.58112,0.55441,0.01121,0.93791,0.89776,0.94244,0.83272,0.5404,0.58167,0.0132,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,14139.8,0.5809,0.54808,0.0112,0.94596,0.8864,0.94178,0.832,0.54094,0.58199,0.01318,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14343.4,0.57694,0.54881,0.01121,0.94552,0.88431,0.9417,0.83148,0.54058,0.58712,0.01319,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14546.8,0.56456,0.54329,0.01095,0.93892,0.88413,0.9404,0.83045,0.54213,0.5902,0.01327,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14751,0.56123,0.54088,0.01081,0.93245,0.88608,0.93995,0.82923,0.54461,0.5938,0.01334,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14955.2,0.56127,0.52048,0.01074,0.93284,0.89094,0.94128,0.83194,0.54416,0.58878,0.01334,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,15159.3,0.5594,0.53672,0.01071,0.94336,0.88657,0.94161,0.83317,0.54068,0.58804,0.01321,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15364.1,0.55169,0.53025,0.0106,0.94179,0.88835,0.94206,0.8333,0.53985,0.58806,0.01319,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15570,0.54609,0.52288,0.01054,0.93385,0.89355,0.9421,0.83381,0.5383,0.58715,0.01312,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15775.3,0.54647,0.51769,0.01048,0.93938,0.8877,0.94205,0.83392,0.5367,0.58676,0.01307,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15982.5,0.54294,0.51822,0.01034,0.94552,0.88478,0.94175,0.83399,0.53387,0.58699,0.01296,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16189.2,0.53809,0.4997,0.01027,0.93385,0.8864,0.9412,0.83364,0.53155,0.5883,0.01287,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16395.7,0.53289,0.49622,0.01011,0.9318,0.88692,0.94096,0.8334,0.53027,0.58602,0.01282,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,16601.7,0.52817,0.49696,0.01013,0.93128,0.89293,0.94114,0.83355,0.52932,0.5833,0.01277,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16807.7,0.52158,0.49747,0.00999,0.94357,0.87913,0.94125,0.83336,0.52705,0.58456,0.01269,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,17012.7,0.52026,0.50154,0.00985,0.94047,0.88867,0.94169,0.83413,0.52452,0.58259,0.01258,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17217.8,0.51809,0.4878,0.00973,0.94091,0.8864,0.94177,0.83328,0.52352,0.57805,0.01255,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17422.9,0.51278,0.48489,0.0097,0.94434,0.88661,0.94179,0.83356,0.52261,0.57737,0.01253,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17628.6,0.51756,0.48573,0.00975,0.94151,0.88543,0.94126,0.83311,0.52301,0.57903,0.01255,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17836.4,0.50123,0.46377,0.00943,0.93565,0.8903,0.94178,0.83275,0.5216,0.58081,0.01253,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18042.9,0.50567,0.47517,0.00951,0.95334,0.87374,0.94176,0.83268,0.52179,0.57808,0.01251,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18248,0.49651,0.47228,0.00937,0.94216,0.88445,0.94214,0.83377,0.52019,0.57697,0.01247,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18454.3,0.49351,0.47404,0.00924,0.95057,0.88015,0.94229,0.83457,0.51586,0.5787,0.0123,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18651.3,0.49268,0.45839,0.00921,0.95217,0.88023,0.94276,0.83473,0.51643,0.57776,0.01235,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18847.9,0.48054,0.44785,0.00892,0.94424,0.88965,0.94339,0.83613,0.51636,0.57195,0.01232,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19044,0.47823,0.44471,0.00893,0.95425,0.88678,0.94357,0.83662,0.51578,0.56804,0.01228,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
